ANO,CODMUNRES,SUICIDES
2015,270410,3
2015,270420,1
2015,270430,32
2015,270440,1
2015,270460,4
2015,270490,1
2015,270500,1
2015,270510,1
2015,270550,1
2015,270630,5
2015,270660,1
2015,270670,5
2015,270680,2
2015,270710,1
2015,270770,1
2015,270800,1
2015,270840,3
2015,270850,2
2015,270860,2
2015,270890,1
2015,270895,1
2015,270900,2
2015,270910,1
2015,270915,2
2015,270920,3
2015,270930,1
2015,270940,2
2015,280010,1
2015,280020,1
2015,280030,33
2015,280060,2
2015,280100,1
2015,280120,1
2015,280130,1
2015,280140,2
2015,280150,1
2015,280170,1
2015,280200,1
2015,280210,4
2015,280230,1
2015,280240,1
2015,280250,2
2015,280260,1
2015,280290,6
2015,280320,2
2015,280350,4
2015,280360,3
2015,280370,1
2015,280390,1
2015,280400,1
2015,280410,1
2015,280430,1
2015,280440,1
2015,280450,4
2015,280480,8
2015,280540,1
2015,280550,1
2015,280560,5
2015,280570,2
2015,280590,1
2015,280600,1
2015,280610,2
2015,280630,1
2015,280660,2
2015,280670,5
2015,280680,1
2015,280700,1
2015,280710,5
2015,280740,3
2015,280760,2
2015,290000,1
2015,290020,2
2015,290070,7
2015,290080,1
2015,290100,1
2015,290110,1
2015,290130,2
2015,290135,1
2015,290170,1
2015,290190,1
2015,290195,1
2015,290200,1
2015,290210,1
2015,290260,1
2015,290265,1
2015,290270,5
2015,290300,1
2015,290310,3
2015,290323,1
2015,290327,1
2015,290330,1
2015,290350,1
2015,290380,2
2015,290405,1
2015,290420,1
2015,290430,1
2015,290450,4
2015,290460,1
2015,290485,2
2015,290500,3
2015,290515,1
2015,290520,4
2015,290530,1
2015,290540,1
2015,290560,2
2015,290570,13
2015,290580,1
2015,290590,1
2015,290600,5
2015,290620,1
2015,290650,3
2015,290660,1
2015,290670,1
2015,290682,2
2015,290687,1
2015,290689,1
2015,290710,2
2015,290720,4
2015,290750,3
2015,290755,1
2015,290760,1
2015,290770,2
2015,290780,6
2015,290800,1
2015,290830,1
2015,290840,1
2015,290850,1
2015,290880,1
2015,290890,2
2015,290930,1
2015,290980,1
2015,290990,1
2015,291005,1
2015,291010,3
2015,291020,1
2015,291040,3
2015,291050,1
2015,291060,2
2015,291070,4
2015,291072,6
2015,291075,1
2015,291080,5
2015,291120,1
2015,291130,1
2015,291160,4
2015,291170,9
2015,291180,1
2015,291220,1
2015,291240,2
2015,291310,1
2015,291350,1
2015,291360,2
2015,291370,3
2015,291390,1
2015,291400,1
2015,291410,2
2015,291420,1
2015,291430,1
2015,291440,1
2015,291460,4
2015,291470,1
2015,291480,5
2015,291490,2
2015,291510,2
2015,291535,3
2015,291560,5
2015,291580,1
2015,291600,1
2015,291640,3
2015,291685,1
2015,291700,4
2015,291733,1
2015,291740,1
2015,291750,3
2015,291760,1
2015,291770,4
2015,291780,2
2015,291800,12
2015,291810,1
2015,291820,1
2015,291830,1
2015,291840,4
2015,291880,1
2015,291920,7
2015,291950,4
2015,292010,3
2015,292045,1
2015,292050,2
2015,292060,1
2015,292070,1
2015,292080,1
2015,292100,2
2015,292105,2
2015,292120,3
2015,292130,1
2015,292140,1
2015,292150,3
2015,292170,2
2015,292190,1
2015,292200,1
2015,292210,1
2015,292230,2
2015,292240,3
2015,292250,1
2015,292265,1
2015,292280,1
2015,292290,1
2015,292300,1
2015,292310,2
2015,292320,1
2015,292340,4
2015,292350,1
2015,292370,1
2015,292400,1
2015,292410,2
2015,292430,2
2015,292440,1
2015,292450,2
2015,292460,1
2015,292470,1
2015,292480,1
2015,292520,1
2015,292525,1
2015,292530,5
2015,292560,2
2015,292600,1
2015,292630,1
2015,292640,1
2015,292660,1
2015,292665,1
2015,292670,2
2015,292690,1
2015,292720,3
2015,292740,73
2015,292750,1
2015,292760,2
2015,292810,1
2015,292820,2
2015,292840,1
2015,292850,1
2015,292860,2
2015,292870,1
2015,292910,3
2015,292920,3
2015,292925,1
2015,292935,1
2015,292937,2
2015,292940,2
2015,292950,1
2015,292990,3
2015,293000,1
2015,293010,3
2015,293040,1
2015,293050,1
2015,293060,1
2015,293070,3
2015,293075,1
2015,293076,1
2015,293080,2
2015,293090,1
2015,293100,1
2015,293105,1
2015,293120,4
2015,293135,5
2015,293170,1
2015,293190,4
2015,293240,4
2015,293245,1
2015,293250,1
2015,293270,1
2015,293280,1
2015,293290,4
2015,293300,2
2015,293305,1
2015,293320,1
2015,293330,19
2015,293350,1
2015,293360,6
2015,310000,2
2015,310010,1
2015,310020,3
2015,310090,4
2015,310100,1
2015,310120,1
2015,310150,2
2015,310160,3
2015,310190,2
2015,310200,1
2015,310210,2
2015,310230,2
2015,310260,4
2015,310280,1
2015,310290,1
2015,310350,6
2015,310360,1
2015,310370,2
2015,310390,1
2015,310400,9
2015,310410,2
2015,310420,4
2015,310430,2
2015,310440,1
2015,310450,2
2015,310460,2
2015,310470,1
2015,310490,4
2015,310500,1
2015,310510,3
2015,310530,1
2015,310540,1
2015,310560,10
2015,310620,143
2015,310630,1
2015,310640,1
2015,310650,1
2015,310670,16
2015,310690,2
2015,310710,3
2015,310730,5
2015,310740,5
2015,310760,2
2015,310770,1
2015,310790,1
2015,310800,1
2015,310820,3
2015,310825,2
2015,310830,2
2015,310840,1
2015,310855,2
2015,310860,2
2015,310870,1
2015,310890,1
2015,310900,1
2015,310910,2
2015,310920,1
2015,310930,2
2015,310940,1
2015,311000,2
2015,311020,1
2015,311030,4
2015,311050,3
2015,311060,2
2015,311100,3
2015,311110,2
2015,311120,5
2015,311160,2
2015,311190,1
2015,311200,2
2015,311220,1
2015,311230,2
2015,311260,3
2015,311280,2
2015,311300,3
2015,311330,1
2015,311340,5
2015,311350,1
2015,311400,1
2015,311420,2
2015,311430,3
2015,311440,1
2015,311450,3
2015,311455,3
2015,311460,2
2015,311480,1
2015,311510,4
2015,311520,1
2015,311530,4
2015,311545,1
2015,311547,1
2015,311570,1
2015,311580,1
2015,311630,1
2015,311660,4
2015,311670,1
2015,311680,1
2015,311710,1
2015,311760,2
2015,311790,1
2015,311800,5
2015,311830,12
2015,311860,41
2015,311880,4
2015,311900,1
2015,311910,1
2015,311920,1
2015,311930,2
2015,311940,6
2015,312015,1
2015,312087,1
2015,312090,7
2015,312130,1
2015,312140,3
2015,312150,1
2015,312160,3
2015,312180,1
2015,312190,1
2015,312200,1
2015,312230,23
2015,312320,2
2015,312330,1
2015,312340,1
2015,312352,1
2015,312360,3
2015,312370,1
2015,312385,1
2015,312400,1
2015,312410,4
2015,312420,1
2015,312430,2
2015,312470,2
2015,312490,2
2015,312510,2
2015,312540,1
2015,312570,1
2015,312590,1
2015,312610,6
2015,312620,1
2015,312670,1
2015,312675,1
2015,312700,1
2015,312710,5
2015,312720,1
2015,312770,17
2015,312780,1
2015,312800,1
2015,312810,2
2015,312830,1
2015,312870,7
2015,312880,1
2015,312900,1
2015,312910,2
2015,312940,1
2015,312950,4
2015,312970,1
2015,312980,12
2015,313000,1
2015,313005,1
2015,313030,1
2015,313050,1
2015,313055,1
2015,313090,1
2015,313100,1
2015,313115,1
2015,313120,2
2015,313130,9
2015,313140,2
2015,313150,1
2015,313160,2
2015,313170,10
2015,313200,2
2015,313220,5
2015,313230,1
2015,313240,4
2015,313270,1
2015,313300,2
2015,313350,10
2015,313360,1
2015,313370,4
2015,313380,14
2015,313410,1
2015,313420,7
2015,313440,2
2015,313450,1
2015,313460,2
2015,313480,3
2015,313490,2
2015,313510,1
2015,313520,5
2015,313530,1
2015,313550,3
2015,313560,2
2015,313570,1
2015,313590,1
2015,313610,1
2015,313620,4
2015,313630,3
2015,313670,31
2015,313690,4
2015,313695,1
2015,313720,5
2015,313740,1
2015,313750,2
2015,313790,1
2015,313820,11
2015,313835,1
2015,313840,3
2015,313850,1
2015,313860,2
2015,313862,2
2015,313865,1
2015,313868,1
2015,313900,3
2015,313910,2
2015,313920,3
2015,313925,1
2015,313940,1
2015,313950,2
2015,313970,1
2015,313980,1
2015,314000,4
2015,314050,4
2015,314070,2
2015,314080,1
2015,314110,4
2015,314120,2
2015,314140,1
2015,314180,1
2015,314200,1
2015,314220,2
2015,314225,2
2015,314240,2
2015,314270,2
2015,314280,1
2015,314290,2
2015,314300,2
2015,314310,1
2015,314320,5
2015,314330,12
2015,314340,3
2015,314345,1
2015,314350,2
2015,314360,1
2015,314380,2
2015,314390,7
2015,314400,1
2015,314420,1
2015,314437,1
2015,314450,1
2015,314460,3
2015,314470,1
2015,314480,3
2015,314505,1
2015,314510,3
2015,314520,6
2015,314530,4
2015,314537,1
2015,314545,2
2015,314560,3
2015,314580,1
