,QUANTIDADE,MUNCOD
1768,1,431320
1769,7,431337
1770,29,431340
1771,5,431350
1772,1,431370
1773,2,431402
1774,88,431410
1775,4,431420
1776,1,431430
1777,470,431440
1778,1,431460
1779,1575,431490
1780,1,431530
1781,1,431532
1782,2,431550
1783,269,431560
1784,1,431590
1785,1,431630
1786,1,431640
1787,2,431645
1788,1,431660
1789,1,431670
1790,27,431680
1791,69,431690
1792,1,431720
1793,7,431730
1794,5,431700
1795,2,431740
1796,26,431750
1797,1,431760
1798,1,431800
1799,1,431820
1800,1,431830
1801,1,431843
1802,9,431850
1803,108,431870
1804,2,431880
1805,2,431890
1806,1,431900
1807,1,431940
1808,3,431950
1809,5,431960
1810,1,431990
1811,87,432000
1812,1,432010
1813,1,432030
1814,1,432035
1815,1,432040
1816,3,432080
1817,1,432090
1818,4,432110
1819,1,432140
1820,3,432150
1821,31,432160
1822,3,432220
1823,2,432230
1824,61,432240
1825,2,432270
1826,1,432280
1827,126,432300
1828,3,432380
1829,4,500020
1830,3,500060
1831,9,500070
1832,1,500090
1833,1,500100
1834,7,500110
1835,1,500124
1836,1,500150
1837,7,500220
1838,1,500230
1839,4,500240
1840,824,500270
1841,3,500290
1842,3,500295
1843,5,500310
1844,11,500320
1845,6,500325
1846,11,500330
1847,3,500348
1848,63,500370
1849,1,500375
1850,1,500400
1851,1,500430
1852,2,500450
1853,2,500470
1854,13,500490
1855,15,500500
1856,8,500540
1857,4,500560
1858,1,500568
1859,6,500570
1860,1,500580
1861,1,500600
1862,3,500620
