"Município";"2015";"2016";"2017";"Total"
"210490 Guimarães";52;58;36;146
"210500 Humberto de Campos";12;22;12;46
"210510 Icatu";32;24;25;81
"210515 Igarapé do Meio";31;18;20;69
"210520 Igarapé Grande";4;3;29;36
"210530 Imperatriz";186;139;131;456
"210535 Itaipava do Grajaú";23;20;46;89
"210540 Itapecuru Mirim";68;67;78;213
"210542 Itinga do Maranhão";74;26;57;157
"210545 Jatobá";23;10;5;38
"210547 Jenipapo dos Vieiras";12;5;20;37
"210550 João Lisboa";60;51;53;164
"210560 Joselândia";48;23;53;124
"210565 Junco do Maranhão";20;19;8;47
"210570 Lago da Pedra";111;102;130;343
"210580 Lago do Junco";12;15;15;42
"210594 Lago dos Rodrigues";37;44;14;95
"210590 Lago Verde";4;8;40;52
"210592 Lagoa do Mato";-;1;18;19
"210596 Lagoa Grande do Maranhão";4;3;11;18
"210598 Lajeado Novo";11;3;6;20
"210600 Lima Campos";59;59;41;159
"210610 Loreto";23;8;29;60
"210620 Luís Domingues";4;3;5;12
"210630 Magalhães de Almeida";23;23;19;65
"210632 Maracaçumé";24;32;28;84
"210635 Marajá do Sena";2;5;3;10
"210637 Maranhãozinho";18;23;34;75
"210640 Mata Roma";35;24;21;80
"210650 Matinha";40;23;41;104
"210660 Matões";59;49;108;216
"210663 Matões do Norte";2;8;8;18
"210667 Milagres do Maranhão";4;13;3;20
"210670 Mirador";42;30;31;103
"210675 Miranda do Norte";39;28;45;112
"210680 Mirinzal";11;19;37;67
"210690 Monção";46;67;45;158
"210700 Montes Altos";7;4;13;24
"210710 Morros";7;9;14;30
"210720 Nina Rodrigues";23;24;42;89
"210725 Nova Colinas";17;16;23;56
"210730 Nova Iorque";4;2;1;7
"210735 Nova Olinda do Maranhão";21;21;18;60
"210740 Olho d'Água das Cunhãs";35;15;17;67
"210745 Olinda Nova do Maranhão";34;38;29;101
"210750 Paço do Lumiar";36;40;29;105
"210760 Palmeirândia";36;17;44;97
"210770 Paraibano";32;39;59;130
"210780 Parnarama";47;29;20;96
"210790 Passagem Franca";36;44;60;140
"210800 Pastos Bons";24;20;25;69
"210805 Paulino Neves";41;35;50;126
"210810 Paulo Ramos";26;20;36;82
"210820 Pedreiras";124;57;85;266
"210825 Pedro do Rosário";33;35;47;115
"210830 Penalva";51;49;44;144
"210840 Peri Mirim";12;11;21;44
"210845 Peritoró";20;10;18;48
"210850 Pindaré-Mirim";50;57;78;185
"210860 Pinheiro";38;124;113;275
"210870 Pio XII";30;21;63;114
"210880 Pirapemas";4;1;25;30
"210890 Poção de Pedras";50;41;77;168
"210900 Porto Franco";59;66;108;233
"210905 Porto Rico do Maranhão";7;3;3;13
"210910 Presidente Dutra";152;132;177;461
"210920 Presidente Juscelino";17;18;12;47
"210923 Presidente Médici";6;3;3;12
"210927 Presidente Sarney";13;22;16;51
"210930 Presidente Vargas";22;14;30;66
"210940 Primeira Cruz";45;57;21;123
"210945 Raposa";21;24;9;54
"210950 Riachão";77;49;62;188
"210955 Ribamar Fiquene";20;4;2;26
"210960 Rosário";90;51;60;201
"210970 Sambaíba";15;8;6;29
"210975 Santa Filomena do Maranhão";1;13;2;16
"210980 Santa Helena";46;21;52;119
"210990 Santa Inês";132;103;170;405
"211000 Santa Luzia";65;89;123;277
"211003 Santa Luzia do Paruá";44;46;18;108
"211010 Santa Quitéria do Maranhão";31;51;22;104
"211020 Santa Rita";16;16;19;51
"211023 Santana do Maranhão";11;16;87;114
"211027 Santo Amaro do Maranhão";11;10;31;52
"211030 Santo Antônio dos Lopes";17;13;22;52
"211040 São Benedito do Rio Preto";11;8;29;48
"211050 São Bento";26;23;47;96
"211060 São Bernardo";82;94;61;237
"211065 São Domingos do Azeitão";9;10;9;28
"211070 São Domingos do Maranhão";50;40;73;163
"211080 São Félix de Balsas";6;5;16;27
"211085 São Francisco do Brejão";27;22;27;76
"211090 São Francisco do Maranhão";19;7;27;53
"211100 São João Batista";63;31;34;128
"211102 São João do Carú";11;17;20;48
"211105 São João do Paraíso";51;11;8;70
"211107 São João do Soter";37;55;40;132
"211110 São João dos Patos";43;32;57;132
"211120 São José de Ribamar";40;59;66;165
"211125 São José dos Basílios";16;10;5;31
"211130 São Luís";552;572;428;1552
"211140 São Luís Gonzaga do Maranhão";6;12;15;33
"211150 São Mateus do Maranhão";157;57;56;270
"211153 São Pedro da Água Branca";17;-;3;20
"211157 São Pedro dos Crentes";6;1;5;12
"211160 São Raimundo das Mangabeiras";34;25;65;124
"211163 São Raimundo do Doca Bezerra";29;5;15;49
"211167 São Roberto";2;1;3;6
"211170 São Vicente Ferrer";60;37;24;121
"211172 Satubinha";9;5;12;26
"211174 Senador Alexandre Costa";22;28;35;85
"211176 Senador La Rocque";9;3;6;18
"211178 Serrano do Maranhão";47;19;31;97
"211180 Sítio Novo";22;17;55;94
"211190 Sucupira do Norte";23;43;31;97
"211195 Sucupira do Riachão";28;17;35;80
"211200 Tasso Fragoso";3;2;22;27
"211210 Timbiras";75;78;130;283
"211220 Timon";131;116;97;344
"211223 Trizidela do Vale";71;56;80;207
"211227 Tufilândia";23;4;13;40
"211230 Tuntum";123;83;84;290
"211240 Turiaçu";10;15;30;55
"211245 Turilândia";13;12;10;35
"211250 Tutóia";47;57;82;186
"211260 Urbano Santos";49;34;49;132
"211270 Vargem Grande";60;66;60;186
"211280 Viana";45;53;66;164
"211285 Vila Nova dos Martírios";22;4;5;31
"211290 Vitória do Mearim";32;26;70;128
"211300 Vitorino Freire";29;24;53;106
"211400 Zé Doca";84;104;121;309
"220005 Acauã";-;2;6;8
"220010 Agricolândia";10;8;2;20
"220020 Água Branca";67;41;47;155
"220025 Alagoinha do Piauí";18;12;7;37
"220027 Alegrete do Piauí";3;6;2;11
"220030 Alto Longá";5;3;17;25
"220040 Altos";93;150;86;329
"220045 Alvorada do Gurguéia";8;6;7;21
"220050 Amarante";67;111;79;257
"220060 Angical do Piauí";7;10;10;27
"220070 Anísio de Abreu";11;11;5;27
"220080 Antônio Almeida";3;-;3;6
