,QUANTIDADE,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
517,211,410140,Apucarana,-23.551,-51.461
518,87,410150,Arapongas,-23.419,-51.424
519,2,410200,Assis Chateaubriand,-24.42,-53.521
520,7,410210,Astorga,-23.233,-51.666
521,4,410360,Cambará,-23.046,-50.074
522,26,410370,Cambé,-23.276,-51.278
523,311,410400,Campina Grande do Sul,-25.306,-49.055
524,107,410420,Campo Largo,-25.459,-49.528
525,183,410430,Campo Mourão,-24.046,-52.383
526,2,410442,Candói,-25.663,-52.126
527,4,410460,Capitão Leônidas Marques,-25.479,-53.614
528,2333,410480,Cascavel,-24.956,-53.455
529,1,410530,Céu Azul,-25.147,-53.849
530,87,410550,Cianorte,-23.663,-52.605
531,6,410580,Colombo,-25.292,-49.224
532,5,410590,Colorado,-22.838,-51.973
533,17,410640,Cornélio Procópio,-23.181,-50.647
534,2,410650,Coronel Vivida,-25.98,-52.568
535,14884,410690,Curitiba,-25.428,-49.273
536,5,410720,Dois Vizinhos,-25.734,-53.057
537,1,410750,Engenheiro Beltrão,-23.797,-52.269
538,477,410830,Foz do Iguaçu,-25.548,-54.588
539,5,410860,Goioerê,-24.185,-53.028
540,17,410880,Guaíra,-24.08,-54.256
541,216,410940,Guarapuava,-25.395,-51.458
542,9,410980,Ibiporã,-23.269,-51.048
543,255,411070,Irati,-25.467,-50.651
544,76,411150,Ivaiporã,-24.248,-51.685
545,127,411180,Jacarezinho,-23.161,-49.969
546,24,411330,Laranjeiras do Sul,-25.408,-52.416
547,1,411350,Loanda,-22.923,-53.137
548,3411,411370,Londrina,-23.31,-51.163
549,27,411410,Mandaguaçu,-23.347,-52.095
550,1121,411520,Maringá,-23.425,-51.939
551,2,411560,Matelândia,-25.241,-53.996
552,80,411580,Medianeira,-25.295,-54.094
553,1,411690,Nova Esperança,-23.184,-52.205
554,4,411722,Nova Santa Rosa,-24.466,-53.953
555,26,411760,Palmas,-26.484,-51.991
556,2,411770,Palmeira,-25.429,-50.006
557,89,411840,Paranavaí,-23.073,-52.465
558,455,411850,Pato Branco,-26.229,-52.671
559,1,411910,Piên,-26.098,-49.429
560,1,411930,Pinhão,-25.696,-51.66
561,565,411990,Ponta Grossa,-25.095,-50.162
562,4,412060,Prudentópolis,-25.213,-50.978
563,3,412180,Ribeirão Claro,-23.194,-49.758
564,1,412190,Ribeirão do Pinhal,-23.408,-50.357
565,2,412200,Rio Azul,-25.733,-50.796
566,1,412230,Rio Negro,-26.106,-49.798
567,11,412240,Rolândia,-23.31,-51.369
568,9,412260,Rondon,-23.411,-52.761
569,11,412350,Santa Helena,-24.86,-54.333
