,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,MUNCOD
404,0,0,0,1,1,0,1,1,0,2,0,6,171875
405,1,0,1,0,0,1,1,0,0,0,1,5,171880
406,0,0,0,0,1,0,2,0,0,1,0,4,171884
407,1,0,0,1,0,0,1,2,0,0,1,6,171886
408,0,0,0,0,0,0,1,0,0,0,0,1,171888
409,0,0,0,0,0,0,1,0,0,0,0,1,171889
410,0,0,0,0,1,0,2,0,0,2,1,6,171890
411,0,0,1,0,0,0,0,0,0,0,1,2,171900
412,1,0,1,0,0,0,0,0,0,1,0,3,172000
413,0,0,0,1,0,0,0,1,1,0,0,3,172010
414,0,0,0,0,0,0,2,0,1,0,2,5,172020
415,0,0,0,0,0,0,0,1,0,1,0,2,172025
416,0,0,1,0,0,0,1,0,0,1,0,3,172030
417,1,0,1,2,0,0,0,1,1,1,1,8,172049
418,0,1,0,0,2,0,0,1,0,0,0,4,172065
419,1,0,0,0,0,1,1,0,0,0,1,4,172080
420,0,0,0,0,0,1,0,0,0,0,0,1,172085
421,1,0,1,1,0,4,1,0,3,0,0,11,172090
422,0,0,0,2,0,4,1,0,0,0,0,7,172093
423,1,0,0,0,0,0,0,1,0,0,0,2,172097
424,0,0,1,2,1,0,0,0,0,0,0,4,172110
425,1,1,1,2,0,0,0,2,2,2,2,13,172120
426,0,0,0,0,0,0,0,1,0,0,0,1,172125
427,0,1,0,0,0,0,0,0,0,0,2,3,172130
428,1,0,1,0,0,0,0,0,0,1,1,4,172208
429,1,1,0,1,2,0,0,2,1,0,0,8,172210
430,1,0,0,1,0,0,0,0,0,1,0,3,170000
431,4,5,3,2,5,3,5,2,8,3,11,51,210005
432,0,0,0,0,0,0,0,0,1,0,0,1,210010
433,0,0,0,0,0,1,0,0,0,0,0,1,210020
434,0,0,0,0,0,0,2,1,0,1,1,5,210030
435,2,0,0,0,0,1,1,0,3,1,1,9,210043
436,1,0,0,0,0,1,0,1,0,0,0,3,210047
437,0,0,1,0,0,0,0,0,0,1,1,3,210050
438,0,0,0,0,0,0,0,1,1,0,1,3,210055
439,0,2,2,2,5,0,3,4,2,0,0,20,210060
440,0,0,1,1,1,2,0,1,1,2,0,9,210070
441,0,0,1,0,1,0,0,1,3,1,0,7,210080
